fecha,tren,categoria,tipo_servicio,detalle,servicio_comercial,sentido,cod_origen,estacion_origen,cod_destino,estacion_destino,num_paradas,paradas
2026-06-23,14467,MD,Media Distancia,Área Este,REGIONAL,Impar (↑ Norte/Origen),65312,Vinaròs,65000,València-Estació del Nord,20,Vinaròs > Benicarló-Peñíscola > Alcalá de Chivert > Torreblanca > Orpesa > Benicàssim > Castelló de la Plana > Almassora > Vila-Real > Burriana-Alquerías Niño Perdido > Nules la Villavella > Chilches/Xilxes > Almenara > Sagunt > Puçol > El Puig > Albuixech > València-Cabanyal > València-La Font de Sant Lluís > València-Estació del Nord
2026-06-23,14470,MD,Media Distancia,Área Este,REGIONAL,Par (↓ Sur/Destino),60902,Villena,60911,Alicante/Alacant-Terminal,7,Villena > Sax > Elda-Petrer > Novelda-Aspe > Sant Vicent Centre > Universidad de Alicante > Alicante/Alacant-Terminal
2026-06-23,14471,MD,Media Distancia,Área Este,REGIONAL,Impar (↑ Norte/Origen),60911,Alicante/Alacant-Terminal,60902,Villena,7,Alicante/Alacant-Terminal > Universidad de Alicante > Sant Vicent Centre > Novelda-Aspe > Elda-Petrer > Sax > Villena
2026-06-23,14472,MD,Media Distancia,Área Este,REGIONAL,Par (↓ Sur/Destino),60902,Villena,60911,Alicante/Alacant-Terminal,7,Villena > Sax > Elda-Petrer > Novelda-Aspe > Sant Vicent Centre > Universidad de Alicante > Alicante/Alacant-Terminal
2026-06-23,14473,MD,Media Distancia,Área Este,REGIONAL,Impar (↑ Norte/Origen),60911,Alicante/Alacant-Terminal,60902,Villena,7,Alicante/Alacant-Terminal > Universidad de Alicante > Sant Vicent Centre > Novelda-Aspe > Elda-Petrer > Sax > Villena
2026-06-23,14474,MD,Media Distancia,Área Este,REGIONAL,Par (↓ Sur/Destino),60902,Villena,60911,Alicante/Alacant-Terminal,7,Villena > Sax > Elda-Petrer > Novelda-Aspe > Sant Vicent Centre > Universidad de Alicante > Alicante/Alacant-Terminal
2026-06-23,14475,MD,Media Distancia,Área Este,REGIONAL,Impar (↑ Norte/Origen),60911,Alicante/Alacant-Terminal,60902,Villena,7,Alicante/Alacant-Terminal > Universidad de Alicante > Sant Vicent Centre > Novelda-Aspe > Elda-Petrer > Sax > Villena
2026-06-23,14476,MD,Media Distancia,Área Este,REGIONAL,Par (↓ Sur/Destino),60902,Villena,60911,Alicante/Alacant-Terminal,7,Villena > Sax > Elda-Petrer > Novelda-Aspe > Sant Vicent Centre > Universidad de Alicante > Alicante/Alacant-Terminal
2026-06-23,14477,MD,Media Distancia,Área Este,REGIONAL,Impar (↑ Norte/Origen),60911,Alicante/Alacant-Terminal,60902,Villena,7,Alicante/Alacant-Terminal > Universidad de Alicante > Sant Vicent Centre > Novelda-Aspe > Elda-Petrer > Sax > Villena
2026-06-23,14478,MD,Media Distancia,Área Este,REGIONAL,Par (↓ Sur/Destino),60902,Villena,60911,Alicante/Alacant-Terminal,7,Villena > Sax > Elda-Petrer > Novelda-Aspe > Sant Vicent Centre > Universidad de Alicante > Alicante/Alacant-Terminal
2026-06-23,14479,MD,Media Distancia,Área Este,REGIONAL,Impar (↑ Norte/Origen),60911,Alicante/Alacant-Terminal,60902,Villena,7,Alicante/Alacant-Terminal > Universidad de Alicante > Sant Vicent Centre > Novelda-Aspe > Elda-Petrer > Sax > Villena
2026-06-23,14510,MD,Media Distancia,Área Este,PROXIMDAD,Par (↓ Sur/Destino),61200,Murcia del Carmen,61307,Cartagena,4,Murcia del Carmen > Balsicas-Mar Menor > Torre-Pacheco > Cartagena
2026-06-23,14510,MD,Media Distancia,Área Este,PROXIMDAD,Par (↓ Sur/Destino),61200,Murcia del Carmen,61304,Torre-Pacheco,3,Murcia del Carmen > Balsicas-Mar Menor > Torre-Pacheco
2026-06-23,14510,MD,Media Distancia,Área Este,PROXIMDAD,Par (↓ Sur/Destino),61304,Torre-Pacheco,61307,Cartagena,2,Torre-Pacheco > Cartagena
2026-06-23,14512,MD,Media Distancia,Área Este,PROXIMDAD,Par (↓ Sur/Destino),61200,Murcia del Carmen,61307,Cartagena,4,Murcia del Carmen > Balsicas-Mar Menor > Torre-Pacheco > Cartagena
2026-06-23,14512,MD,Media Distancia,Área Este,PROXIMDAD,Par (↓ Sur/Destino),61200,Murcia del Carmen,61304,Torre-Pacheco,3,Murcia del Carmen > Balsicas-Mar Menor > Torre-Pacheco
