trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled                                                                                                                                                                                                                                         
0227012026-11-02,7:30:00,7:30:00,60000,01,,0,1,                                                                                                                                                                                                                                                                                                               
0227012026-11-02,9:14:00,9:16:00,50500,02,,0,0,                                                                                                                                                                                                                                                                                                               
0227012026-11-02,10:08:00,10:08:00,51003,03,,1,0,                                                                                                                                                                                                                                                                                                             
0227112026-08-23,8:05:00,8:05:00,51003,01,,0,1,                                                                                                                                                                                                                                                                                                               
0227112026-08-23,8:47:00,8:49:00,50500,02,,0,0,                                                                                                                                                                                                                                                                                                               
0227112026-08-23,10:43:00,10:43:00,60000,03,,1,0,                                                                                                                                                                                                                                                                                                             
0228512026-08-24,8:00:00,8:00:00,43019,01,,0,1,                                                                                                                                                                                                                                                                                                               
0228512026-08-24,8:27:00,8:28:00,43011,02,,0,0,                                                                                                                                                                                                                                                                                                               
0228512026-08-24,10:00:00,10:02:00,50500,03,,0,0,                                                                                                                                                                                                                                                                                                             
0228512026-08-24,11:57:00,11:57:00,60000,04,,1,0,                                                                                                                                                                                                                                                                                                             
0228512026-10-13,8:00:00,8:00:00,43019,01,,0,1,                                                                                                                                                                                                                                                                                                               
0228512026-10-13,8:27:00,8:28:00,43011,02,,0,0,                                                                                                                                                                                                                                                                                                               
0228512026-10-13,10:00:00,10:02:00,50500,03,,0,0,                                                                                                                                                                                                                                                                                                             
0228512026-10-13,11:57:00,11:57:00,60000,04,,1,0,                                                                                                                                                                                                                                                                                                             
0228512026-10-15,8:00:00,8:00:00,43019,01,,0,1,                                                                                                                                                                                                                                                                                                               
0228512026-10-15,8:27:00,8:28:00,43011,02,,0,0,                                                                                                                                                                                                                                                                                                               
0228512026-10-15,10:00:00,10:02:00,50500,03,,0,0,                                                                                                                                                                                                                                                                                                             
0228512026-10-15,11:57:00,11:57:00,60000,04,,1,0,                                                                                                                                                                                                                                                                                                             
0228512026-11-03,8:00:00,8:00:00,43019,01,,0,1,                                                                                                                                                                                                                                                                                                               
0228512026-11-03,8:27:00,8:28:00,43011,02,,0,0,                                                                                                                                                                                                                                                                                                               
0228512026-11-03,10:00:00,10:02:00,50500,03,,0,0,                                                                                                                                                                                                                                                                                                             
0228512026-11-03,11:57:00,11:57:00,60000,04,,1,0,                                                                                                                                                                                                                                                                                                             
0236012026-09-07,16:25:00,16:25:00,60000,01,,0,1,                                                                                                                                                                                                                                                                                                             
0236012026-09-07,18:10:00,18:12:00,50500,02,,0,0,                                                                                                                                                                                                                                                                                                             
0236012026-09-07,19:04:00,19:04:00,51003,03,,1,0,                                                                                                                                                                                                                                                                                                             
0236012026-10-15,16:25:00,16:25:00,60000,01,,0,1,                                                                                                                                                                                                                                                                                                             
0236012026-10-15,18:10:00,18:12:00,50500,02,,0,0,                                                                                                                                                                                                                                                                                                             
0236012026-10-15,19:04:00,19:04:00,51003,03,,1,0,                                                                                                                                                                                                                                                                                                             
0236112026-09-07,16:31:00,16:31:00,51003,01,,0,1,                                                                                                                                                                                                                                                                                                             
0236112026-09-07,17:12:00,17:14:00,50500,02,,0,0,                                                                                                                                                                                                                                                                                                             
0236112026-09-07,19:10:00,19:10:00,60000,03,,1,0,                                                                                                                                                                                                                                                                                                             
0236112026-10-12,16:31:00,16:31:00,51003,01,,0,1,                                                                                                                                                                                                                                                                                                             
0236112026-10-12,17:12:00,17:14:00,50500,02,,0,0,                                                                                                                                                                                                                                                                                                             
0236112026-10-12,19:10:00,19:10:00,60000,03,,1,0,                                                                                                                                                                                                                                                                                                             
0236112026-10-15,16:31:00,16:31:00,51003,01,,0,1,                                                                                                                                                                                                                                                                                                             
0236112026-10-15,17:12:00,17:14:00,50500,02,,0,0,                                                                                                                                                                                                                                                                                                             
0236112026-10-15,19:10:00,19:10:00,60000,03,,1,0,                                                                                                                                                                                                                                                                                                             
0236512026-08-24,16:05:00,16:05:00,43019,01,,0,1,                                                                                                                                                                                                                                                                                                             
0236512026-08-24,16:32:00,16:33:00,43011,02,,0,0,                                                                                                                                                                                                                                                                                                             
0236512026-08-24,18:08:00,18:10:00,50500,03,,0,0,                                                                                                                                                                                                                                                                                                             
0236512026-08-24,20:06:00,20:06:00,60000,04,,1,0,                                                                                                                                                                                                                                                                                                             
0236512026-10-12,16:05:00,16:05:00,43019,01,,0,1,                                                                                                                                                                                                                                                                                                             
0236512026-10-12,16:32:00,16:33:00,43011,02,,0,0,                                                                                                                                                                                                                                                                                                             
0236512026-10-12,18:08:00,18:10:00,50500,03,,0,0,                                                                                                                                                                                                                                                                                                             
0236512026-10-12,20:06:00,20:06:00,60000,04,,1,0,                                                                                                                                                                                                                                                                                                             
0236512026-10-15,16:05:00,16:05:00,43019,01,,0,1,                                                                                                                                                                                                                                                                                                             
0236512026-10-15,16:32:00,16:33:00,43011,02,,0,0,                                                                                                                                                                                                                                                                                                             
0236512026-10-15,18:08:00,18:10:00,50500,03,,0,0,                                                                                                                                                                                                                                                                                                             
0236512026-10-15,20:06:00,20:06:00,60000,04,,1,0,                                                                                                                                                                                                                                                                                                             
0236512026-11-02,16:05:00,16:05:00,43019,01,,0,1,                                                                                                                                                                                                                                                                                                             
0236512026-11-02,16:32:00,16:33:00,43011,02,,0,0,                                                                                                                                                                                                                                                                                                             
0236512026-11-02,18:08:00,18:10:00,50500,03,,0,0,                                                                                                                                                                                                                                                                                                             
0236512026-11-02,20:06:00,20:06:00,60000,04,,1,0,                                                                                                                                                                                                                                                                                                             
0236612026-08-23,16:40:00,16:40:00,60000,01,,0,1,                                                                                                                                                                                                                                                                                                             
0236612026-08-23,18:33:00,18:35:00,50500,02,,0,0,                                                                                                                                                                                                                                                                                                             
0236612026-08-23,19:26:00,19:28:00,02030,03,,0,0,                                                                                                                                                                                                                                                                                                             
0236612026-08-23,20:21:00,20:26:00,05000,04,,0,0,                                                                                                                                                                                                                                                                                                             
0236612026-08-23,21:42:00,21:44:00,56200,05,,0,0,                                                                                                                                                                                                                                                                                                             
0236612026-08-23,22:51:00,22:55:00,56310,06,,0,0,                                                                                                                                                                                                                                                                                                             
0236612026-08-23,23:30:00,23:30:00,56312,07,,1,0,                                                                                                                                                                                                                                                                                                             
0236612026-10-15,16:40:00,16:40:00,60000,01,,0,1,                                                                                                                                                                                                                                                                                                             
0236612026-10-15,18:33:00,18:35:00,50500,02,,0,0,                                                                                                                                                                                                                                                                                                             
0236612026-10-15,19:26:00,19:28:00,02030,03,,0,0,                                                                                                                                                                                                                                                                                                             
0236612026-10-15,20:21:00,20:26:00,05000,04,,0,0,                                                                                                                                                                                                                                                                                                             
0236612026-10-15,21:42:00,21:44:00,56200,05,,0,0,                                                                                                                                                                                                                                                                                                             
0236612026-10-15,22:51:00,22:55:00,56310,06,,0,0,                                                                                                                                                                                                                                                                                                             
0236612026-10-15,23:30:00,23:30:00,56312,07,,1,0,                                                                                                                                                                                                                                                                                                             
0236622026-08-23,16:40:00,16:40:00,60000,01,,0,1,                                                                                                                                                                                                                                                                                                             
0236622026-08-23,18:33:00,18:35:00,50500,02,,0,0,                                                                                                                                                                                                                                                                                                             
0236622026-08-23,19:26:00,19:28:00,02030,03,,0,0,                                                                                                                                                                                                                                                                                                             
0236622026-08-23,20:21:00,20:21:00,05000,04,,1,0,                                                                                                                                                                                                                                                                                                             
0236622026-10-15,16:40:00,16:40:00,60000,01,,0,1,                                                                                                                                                                                                                                                                                                             
0236622026-10-15,18:33:00,18:35:00,50500,02,,0,0,                                                                                                                                                                                                                                                                                                             
0236622026-10-15,19:26:00,19:28:00,02030,03,,0,0,                                                                                                                                                                                                                                                                                                             
0236622026-10-15,20:21:00,20:21:00,05000,04,,1,0,                                                                                                                                                                                                                                                                                                             
0237112026-08-23,17:17:00,17:17:00,51003,01,,0,1,                                                                                                                                                                                                                                                                                                             
0237112026-08-23,17:58:00,18:00:00,50500,02,,0,0,                                                                                                                                                                                                                                                                                                             
0237112026-08-23,19:56:00,19:56:00,60000,03,,1,0,                                                                                                                                                                                                                                                                                                             
0237112026-10-12,17:17:00,17:17:00,51003,01,,0,1,                                                                                                                                                                                                                                                                                                             
0237112026-10-12,17:58:00,18:00:00,50500,02,,0,0,                                                                                                                                                                                                                                                                                                             
0237112026-10-12,19:56:00,19:56:00,60000,03,,1,0,                                                                                                                                                                                                                                                                                                             
0237112026-10-15,17:17:00,17:17:00,51003,01,,0,1,                                                                                                                                                                                                                                                                                                             
0237112026-10-15,17:58:00,18:00:00,50500,02,,0,0,                                                                                                                                                                                                                                                                                                             
0237112026-10-15,19:56:00,19:56:00,60000,03,,1,0,                                                                                                                                                                                                                                                                                                             
0237112026-11-02,17:17:00,17:17:00,51003,01,,0,1,                                                                                                                                                                                                                                                                                                             
0237112026-11-02,17:58:00,18:00:00,50500,02,,0,0,                                                                                                                                                                                                                                                                                                             
0237112026-11-02,19:56:00,19:56:00,60000,03,,1,0,                                                                                                                                                                                                                                                                                                             
0237512026-08-24,17:50:00,17:50:00,43019,01,,0,1,                                                                                                                                                                                                                                                                                                             
0237512026-08-24,18:16:00,18:17:00,43011,02,,0,0,                                                                                                                                                                                                                                                                                                             
0237512026-08-24,19:14:00,19:25:00,51003,03,,0,0,                                                                                                                                                                                                                                                                                                             
0237512026-08-24,20:20:00,20:22:00,50500,04,,0,0,                                                                                                                                                                                                                                                                                                             
0237512026-08-24,22:19:00,22:19:00,60000,05,,1,0,                                                                                                                                                                                                                                                                                                             
0237512026-10-15,17:50:00,17:50:00,43019,01,,0,1,                                                                                                                                                                                                                                                                                                             
0237512026-10-15,18:16:00,18:17:00,43011,02,,0,0,                                                                                                                                                                                                                                                                                                             
0237512026-10-15,19:14:00,19:25:00,51003,03,,0,0,                                                                                                                                                                                                                                                                                                             
0237512026-10-15,20:20:00,20:22:00,50500,04,,0,0,                                                                                                                                                                                                                                                                                                             
0237512026-10-15,22:19:00,22:19:00,60000,05,,1,0,                                                                                                                                                                                                                                                                                                             
0238012026-09-07,18:30:00,18:30:00,60000,01,,0,1,                                                                                                                                                                                                                                                                                                             
0238012026-09-07,21:12:00,21:12:00,51003,02,,1,0,                                                                                                                                                                                                                                                                                                             
0238012026-10-12,18:30:00,18:30:00,60000,01,,0,1,                                                                                                                                                                                                                                                                                                             
0238012026-10-12,21:12:00,21:12:00,51003,02,,1,0,                                                                                                                                                                                                                                                                                                             
0238012026-10-15,18:30:00,18:30:00,60000,01,,0,1,                                                                                                                                                                                                                                                                                                             
0238012026-10-15,21:12:00,21:12:00,51003,02,,1,0,                                                                                                                                                                                                                                                                                                             
0238012026-11-02,18:30:00,18:30:00,60000,01,,0,1,                                                                                                                                                                                                                                                                                                             
0238012026-11-02,21:12:00,21:12:00,51003,02,,1,0,                                                                                                                                                                                                                                                                                                             
0238412026-08-24,18:05:00,18:05:00,60000,01,,0,1,                                                                                                                                                                                                                                                                                                             
0238412026-08-24,19:52:00,19:54:00,50500,02,,0,0,                                                                                                                                                                                                                                                                                                             
0238412026-08-24,21:35:00,21:36:00,43011,03,,0,0,                                                                                                                                                                                                                                                                                                             
0238412026-08-24,22:02:00,22:02:00,43019,04,,1,0,                                                                                                                                                                                                                                                                                                             
0238412026-10-15,18:05:00,18:05:00,60000,01,,0,1,                                                                                                                                                                                                                                                                                                             
0238412026-10-15,19:52:00,19:54:00,50500,02,,0,0,                                                                                                                                                                                                                                                                                                             
0238412026-10-15,21:35:00,21:36:00,43011,03,,0,0,                                                                                                                                                                                                                                                                                                             
0238412026-10-15,22:02:00,22:02:00,43019,04,,1,0,                                                                                                                                                                                                                                                                                                             
0239012026-08-23,19:30:00,19:30:00,60000,01,,0,1,                                                                                                                                                                                                                                                                                                             
0239012026-08-23,22:03:00,22:03:00,51003,02,,1,0,                                                                                                                                                                                                                                                                                                             
0249412026-08-24,9:25:00,9:25:00,60000,01,,0,1,                                                                                                                                                                                                                                                                                                               
0249412026-08-24,11:17:00,11:20:00,50500,02,,0,0,                                                                                                                                                                                                                                                                                                             
0249412026-08-24,12:28:00,12:40:00,51003,03,,0,0,                                                                                                                                                                                                                                                                                                             
0249412026-08-24,13:34:00,13:35:00,43011,04,,0,0,                                                                                                                                                                                                                                                                                                             
0249412026-08-24,14:02:00,14:02:00,43019,05,,1,0,                                                                                                                                                                                                                                                                                                             
0249412026-10-15,9:25:00,9:25:00,60000,01,,0,1,                                                                                                                                                                                                                                                                                                               
0249412026-10-15,11:17:00,11:20:00,50500,02,,0,0,                                                                                                                                                                                                                                                                                                             
0249412026-10-15,12:28:00,12:40:00,51003,03,,0,0,                                                                                                                                                                                                                                                                                                             
0249412026-10-15,13:34:00,13:35:00,43011,04,,0,0,                                                                                                                                                                                                                                                                                                             
0249412026-10-15,14:02:00,14:02:00,43019,05,,1,0,                                                                                                                                                                                                                                                                                                             
0305212026-09-11,5:40:00,5:40:00,71801,01,,0,1,                                                                                                                                                                                                                                                                                                               
0305212026-09-11,7:06:00,7:09:00,04040,02,,0,0,                                                                                                                                                                                                                                                                                                               
0305212026-09-11,8:57:00,8:57:00,60000,03,,1,0,                                                                                                                                                                                                                                                                                                               
0305212026-09-25,5:40:00,5:40:00,71801,01,,0,1,                                                                                                                                                                                                                                                                                                               
